network,n_nodes,n_edges,status_assortativity,status_coverage,major_assortativity,major_coverage,degree_assortativity,degree_coverage,dorm_coverage,dorm_assortativity,gender_coverage,gender_assortativity
American75,6370,217654,,0.0,,0.0,0.0659587674257628,1.0,1.0,0.21905622394555968,1.0,0.025527325972064245
Amherst41,2235,90954,,0.0,,0.0,0.05842838917212475,1.0,1.0,0.07481425548102764,1.0,0.04728403063049691
Auburn71,18448,973918,,0.0,,0.0,0.0010457492217915336,1.0,1.0,0.24042736612322696,1.0,0.07860332165875689
BC17,11498,486961,,0.0,,0.0,0.076014632468665,1.0,1.0,0.12056182013276638,1.0,0.013833945556573983
BU10,19666,637509,,0.0,,0.0,0.04533425229383022,1.0,1.0,0.12573603906004688,1.0,0.017719853203665786
Baylor93,12799,679815,,0.0,,0.0,0.07872590537497841,1.0,1.0,0.23150641474238148,1.0,0.07965571652838546
Berkeley13,22900,852419,,0.0,,0.0,0.010302260499137766,1.0,1.0,0.1472739119825444,1.0,0.040911909988091376
Bingham82,10001,362892,,0.0,,0.0,0.13735165585524722,1.0,1.0,0.16443840815123933,1.0,0.014380634332356042
Bowdoin47,2250,84386,,0.0,,0.0,0.056176863076386314,1.0,1.0,0.10031441980247546,1.0,0.034366477200931084
Brandeis99,3887,137561,,0.0,,0.0,-0.02554054493267737,1.0,1.0,0.17898180842824604,1.0,0.018010407718787143
Brown11,8586,384519,,0.0,,0.0,0.06935648619728345,1.0,1.0,0.10271179366616427,1.0,0.025178256264217883
Bucknell39,3824,158863,,0.0,,0.0,0.09448957325052112,1.0,1.0,0.1811763389286013,1.0,0.09533676584036051
Cal65,11243,351356,,0.0,,0.0,0.19160066608392712,1.0,1.0,0.21343925842398645,1.0,0.019867111979971066
Caltech36,762,16651,,0.0,,0.0,-0.06617072568577184,1.0,1.0,0.34909572723443166,1.0,0.04629450586157532
Carnegie49,6621,249959,,0.0,,0.0,0.12245847228737619,1.0,1.0,0.14016190000040732,1.0,0.0822045906777971
Colgate88,3482,155043,,0.0,,0.0,0.0670008825165129,1.0,1.0,0.15031593379176325,1.0,0.07061993504364951
Columbia2,11706,444295,,0.0,,0.0,-0.0022173081731901244,1.0,1.0,0.12659829811882659,1.0,0.06889626651434885
Cornell5,18621,790753,,0.0,,0.0,0.01803334888857543,1.0,1.0,0.17551794116011898,1.0,0.07226831738099669
Dartmouth6,7677,304065,,0.0,,0.0,0.04431174812471217,1.0,1.0,0.12222885074563476,1.0,0.07690266494914885
Duke14,9885,506437,,0.0,,0.0,0.06665596414930891,1.0,1.0,0.12995219038012118,1.0,0.0842453121095362
Emory27,7449,330008,,0.0,,0.0,0.06628595853500642,1.0,1.0,0.17593581282392837,1.0,0.07662949550422855
FSU53,27731,1034799,,0.0,,0.0,0.09935852955917497,1.0,1.0,0.18570579297404893,1.0,0.03443244753329318
GWU54,12164,469511,,0.0,,0.0,0.02525492582618745,1.0,1.0,0.15602588880295445,1.0,0.024761383899994806
Georgetown15,9388,425619,,0.0,,0.0,0.07534736669644741,1.0,1.0,0.1270281967970192,1.0,0.013211160975992349
Hamilton46,2312,96393,,0.0,,0.0,0.030568329724581796,1.0,1.0,0.10509792769883947,1.0,0.07574895874930715
Harvard1,15086,824595,,0.0,,0.0,0.14500018217245078,1.0,1.0,0.12566737526574703,1.0,0.04524717247023845
Haverford76,1446,59589,,0.0,,0.0,0.06749211773411773,1.0,1.0,0.12501507074129053,1.0,0.05374157562151384
Howard90,4047,204850,,0.0,,0.0,0.05788251760170504,1.0,1.0,0.11269101834435273,1.0,-0.08249330495373783
Indiana69,29732,1305757,,0.0,,0.0,0.13292470722443717,1.0,1.0,0.2649707430994523,1.0,0.014163667578755264
JMU79,14070,485564,,0.0,,0.0,0.002951501048267594,1.0,1.0,0.15673106358569272,1.0,-0.005731767649378153
Johns Hopkins55,5157,186572,,0.0,,0.0,0.07967055214259584,1.0,1.0,0.1093807485593634,1.0,0.08195980870527383
Lehigh96,5073,198346,,0.0,,0.0,0.03513316501153229,1.0,1.0,0.23143860022786256,1.0,0.061530531106261555
MIT8,6402,251230,,0.0,,0.0,0.119895513133416,1.0,1.0,0.17875905455484223,1.0,0.1063564612278518
MSU24,32361,1118767,,0.0,,0.0,0.009045758336231544,1.0,1.0,0.17311405545603573,1.0,0.006222382089040888
MU78,15425,649441,,0.0,,0.0,0.1584331491509873,1.0,1.0,0.23560252283276106,1.0,0.10228028549053511
Maine59,9065,243245,,0.0,,0.0,0.07314360888978971,1.0,1.0,0.15759585323394737,1.0,-0.002932448855015315
Maryland58,20829,744832,,0.0,,0.0,0.001406663143869357,1.0,1.0,0.16126297152756144,1.0,0.04833803934342263
Mich67,3745,81901,,0.0,,0.0,0.1417016861178262,1.0,1.0,0.22538765949929632,1.0,0.05254607655302713
Michigan23,30106,1176489,,0.0,,0.0,0.11497623627365859,1.0,1.0,0.15922823462335065,1.0,0.06374088088664291
Middlebury45,3069,124607,,0.0,,0.0,0.07841541140353592,1.0,1.0,0.14730209990970256,1.0,0.032075044478290154
Mississippi66,10519,610910,,0.0,,0.0,0.15067000896993998,1.0,1.0,0.21318037967234668,1.0,0.09259626462375216
NYU9,21623,715673,,0.0,,0.0,0.010609595309535298,1.0,1.0,0.15742922754238067,1.0,-0.0016316939886880987
Northeastern19,13868,381919,,0.0,,0.0,0.06812004317425678,1.0,1.0,0.15134118467157837,1.0,-0.0038093513034742404
Northwestern25,10537,488318,,0.0,,0.0,0.03439627433056811,1.0,1.0,0.19247378579963778,1.0,0.08531977831369236
Notre Dame57,12149,541336,,0.0,,0.0,0.04770519078558905,1.0,1.0,0.20908558121905815,1.0,0.11054412037153445
Oberlin44,2920,89912,,0.0,,0.0,0.05008017692087418,1.0,1.0,0.14980232456217782,1.0,0.016933035244921516
Oklahoma97,17420,892524,,0.0,,0.0,0.07366867873136711,1.0,1.0,0.28033136552953103,1.0,0.0928338595788305
Penn94,41536,1362220,,0.0,,0.0,-0.0013283110756584946,1.0,1.0,0.19983248137890555,1.0,0.01859939385077907
Pepperdine86,3440,152003,,0.0,,0.0,0.05544401454006126,1.0,1.0,0.13296452523524874,1.0,0.05294322768021276
Princeton12,6575,293307,,0.0,,0.0,0.09098016724554245,1.0,1.0,0.09465908835734296,1.0,0.05059053693079209
Reed98,962,18812,,0.0,,0.0,0.023433911766299838,1.0,1.0,0.14559977311086097,1.0,0.020109792303167198
Rice31,4083,184826,,0.0,,0.0,0.06483462782822576,1.0,1.0,0.4160109539685949,1.0,0.02715388181035858
Rochester38,4561,161403,,0.0,,0.0,0.024946883937196563,1.0,1.0,0.1993983259492487,1.0,0.06537820793492147
Rutgers89,24568,784596,,0.0,,0.0,0.07570232619365705,1.0,1.0,0.17018354521187917,1.0,0.027056465306871086
Santa74,3578,151747,,0.0,,0.0,0.07063364105479578,1.0,1.0,0.1391771122685546,1.0,0.029890245653954754
Simmons81,1510,32984,,0.0,,0.0,-0.0622502959623189,1.0,1.0,0.16765156343976673,1.0,0.004367207476297788
Smith60,2970,97133,,0.0,,0.0,0.04361720784999336,1.0,1.0,0.24251985865351586,1.0,0.051031380685604755
Stanford3,11586,568309,,0.0,,0.0,0.10195140824021603,1.0,1.0,0.10150667065975409,1.0,0.0477540055305945
Swarthmore42,1657,61049,,0.0,,0.0,0.06093107201796439,1.0,1.0,0.10281130724071459,1.0,0.05384871374129773
Syracuse56,13640,543975,,0.0,,0.0,0.06452912074991646,1.0,1.0,0.2359774323649202,1.0,0.051541759723292356
Temple83,13653,360774,,0.0,,0.0,0.030237498086773805,1.0,1.0,0.19759365878032673,1.0,-0.05405890698635486
Tennessee95,16977,770658,,0.0,,0.0,0.0005223327887146066,1.0,1.0,0.17004454719178086,1.0,0.04708833449742161
Texas80,31538,1219639,,0.0,,0.0,0.16388060318553432,1.0,1.0,0.20483512843449725,1.0,0.0796916113524656
Texas84,36364,1590651,,0.0,,0.0,-0.00150477461547938,1.0,1.0,0.20201105277257322,1.0,0.05444654135647274
Trinity100,2613,111996,,0.0,,0.0,0.07190565373550929,1.0,1.0,0.10883910914751317,1.0,0.04246312377477926
Tufts18,6672,249722,,0.0,,0.0,0.11798493726385167,1.0,1.0,0.12305615720096903,1.0,0.05048098448308716
Tulane29,7740,283912,,0.0,,0.0,0.09756227040948967,1.0,1.0,0.2501175335548616,1.0,0.08390690629411807
UC33,16800,522141,,0.0,,0.0,0.09391543922305963,1.0,1.0,0.21993911340729222,1.0,0.01810171000857017
UC61,13736,442169,,0.0,,0.0,0.19687582879277638,1.0,1.0,0.14639000070850217,1.0,0.0034930580731655767
UC64,6810,155320,,0.0,,0.0,0.1253775970779927,1.0,1.0,0.17445905769010486,1.0,-0.023952982934354144
UCF52,14936,428987,,0.0,,0.0,-0.007707664506203242,1.0,1.0,0.14492051165177067,1.0,0.026765923854354147
UCLA26,20453,747604,,0.0,,0.0,0.1360459556482647,1.0,1.0,0.1939864312007326,1.0,0.026175587407129865
UCSB37,14917,482215,,0.0,,0.0,0.18306169341124645,1.0,1.0,0.17793194626298298,1.0,-0.0018749845504549346
UCSC68,8979,224578,,0.0,,0.0,0.13232212102314633,1.0,1.0,0.38455863780393096,1.0,-0.022528916807780044
UCSD34,14936,443215,,0.0,,0.0,0.03434524313496983,1.0,1.0,0.24658467383849655,1.0,0.026584100791176263
UChicago30,6561,208088,,0.0,,0.0,0.017935458470097112,1.0,1.0,0.18426706595226888,1.0,0.03753977943683335
UConn91,17206,604867,,0.0,,0.0,0.08861495550260651,1.0,1.0,0.10843472236598153,1.0,0.011455838354789324
UF21,35111,1465654,,0.0,,0.0,-0.00964850037493392,1.0,1.0,0.13233647595262515,1.0,0.07018186218051868
UGA50,24380,1174051,,0.0,,0.0,0.08962544401950438,1.0,1.0,0.2533075703689639,1.0,0.0862791960560916
UIllinois20,30795,1264421,,0.0,,0.0,0.027850244273476536,1.0,1.0,0.21139218463753767,1.0,0.09740981100815357
UMass92,16502,519376,,0.0,,0.0,-0.0013784347633863066,1.0,1.0,0.218456276660702,1.0,-0.03622125279623151
UNC28,18158,766796,,0.0,,0.0,6.613719946637311e-05,1.0,1.0,0.17710503720055035,1.0,0.04959258361592727
UPenn7,14888,686485,,0.0,,0.0,0.09250026259178017,1.0,1.0,0.18008336663043145,1.0,0.07145280573951661
USC35,17440,801851,,0.0,,0.0,0.005504891411338413,1.0,1.0,0.17743005580178198,1.0,0.07246827100611448
USF51,13367,321209,,0.0,,0.0,0.1464068785249902,1.0,1.0,0.1413555018435298,1.0,-0.06604867185710346
USFCA72,2672,65244,,0.0,,0.0,0.09166541049655257,1.0,1.0,0.19663846073439417,1.0,0.021740251726015597
UVA16,17178,789308,,0.0,,0.0,0.02549059962283379,1.0,1.0,0.17219602357939878,1.0,0.07975448093224044
Vanderbilt48,8063,427829,,0.0,,0.0,0.037823531296211556,1.0,1.0,0.17594519954224916,1.0,0.12471975682504899
Vassar85,3068,119161,,0.0,,0.0,0.10078144349335603,1.0,1.0,0.19516868272567203,1.0,0.005983318446377356
Vermont70,7322,191220,,0.0,,0.0,0.07719751848418223,1.0,1.0,0.19865465125398574,1.0,0.005117497289281788
Villanova62,7755,314980,,0.0,,0.0,0.06121983021853878,1.0,1.0,0.1763005479467,1.0,0.08243098841424237
Virginia63,21319,698175,,0.0,,0.0,-0.016074486395657533,1.0,1.0,0.11855125328976142,1.0,0.05618498775950475
Wake73,5366,279186,,0.0,,0.0,0.07090875548774574,1.0,1.0,0.17847692123631023,1.0,0.10482120828504371
WashU32,7730,367526,,0.0,,0.0,0.04040080728335174,1.0,1.0,0.12863887767520224,1.0,0.07916083466240749
Wellesley22,2970,94899,,0.0,,0.0,0.06425328627689918,1.0,1.0,0.10228736377950816,1.0,0.022813704518305576
Wesleyan43,3591,138034,,0.0,,0.0,0.09506348914928048,1.0,1.0,0.11036671136385881,1.0,0.03164105997408494
William77,6472,266378,,0.0,,0.0,0.05160144749219283,1.0,1.0,0.15775664215561722,1.0,0.09441362345344896
Williams40,2788,112985,,0.0,,0.0,0.04034804768240832,1.0,1.0,0.12054338554633884,1.0,0.05727221327907362
Wisconsin87,23831,835946,,0.0,,0.0,-0.0035421110135009704,1.0,1.0,0.21733474879475556,1.0,0.039834095139947144
Yale4,8561,405440,,0.0,,0.0,0.0186038480198277,1.0,1.0,0.221295821167607,1.0,0.031111202764101197
